index;L1;L2;L3;L4;Hex1;Hex2;Hex3;Hex4;Hex5;RF;Slot2Out2;Slot2Out3;Slot2Out4;EIC 2,9584 - 3,2623;EIC 18,9014 - 19,4015;EIC 28,9571 - 29,0837
102;-34.4672;-120.0;-29.2934;0.0;0.0;-98.1978;-103.0297;0.0;-105.0168;94.095;-81.3322;-91.0698;-96.7687;0.0492;0.0273;0.0022
103;-2.7484;-120.0;-64.9925;0.0;-120.0;-78.0403;-91.1225;-120.0;-120.0;117.4032;-80.0557;-66.539;-97.0981;0.0353;0.0413;0.00279
104;0.0;-120.0;-84.689;0.0;-112.0206;0.0;-97.0728;0.0;-120.0;263.4186;-88.7609;-76.8503;-102.8943;0.0;0.0311;0.0025
105;0.0;-120.0;-29.1735;0.0;-120.0;-82.939;-93.1475;0.0;-97.1225;45.6224;-83.3701;-59.759;-97.0816;0.193;0.0121;0.00121
106;-79.5271;-54.8202;-54.5178;-16.343;-70.5138;-94.7558;-81.7091;-120.0;-50.1382;78.8742;-85.7527;-57.6278;-91.6973;0.208;0.0536;0.00576
107;-34.6501;-120.0;-8.0377;0.0;0.0;-120.0;-113.4926;0.0;-82.5773;339.7273;-109.9982;-109.5325;-117.2923;0.12;0.0127;0.00134
108;-114.6414;0.0;-20.0793;0.0;0.0;0.0;-92.8304;-108.7735;-61.4753;210.1575;-93.136;-55.484;-97.2238;0.0771;0.0381;0.00385
109;-98.7669;-78.7256;-55.6454;-70.1754;-49.5435;-87.0132;-118.2735;-13.6987;-71.6993;109.3615;-89.5994;-120.0;-110.1669;8.51e-05;0.131;0.00843
110;-33.4869;-46.1209;-120.0;0.0;-73.0713;-92.0381;-66.7829;-48.4489;-48.441;71.0764;-76.4504;-94.6667;-84.719;5.97e-07;0.016;0.00172
111;0.0;-120.0;-80.3274;-120.0;-21.8753;0.0;-116.3125;-96.8117;-31.9952;126.6768;-68.2525;-108.981;-101.754;0.0132;0.0337;0.00374
112;-78.7806;-34.5172;-66.1286;-99.4586;-48.9724;-34.2353;-57.4192;-120.0;-120.0;21.5829;-77.426;-48.5374;-97.7456;0.422;0.0116;0.000539
113;-2.8476;-119.1021;-55.933;-98.0749;-95.7016;0.0;0.0;-120.0;0.0;88.63;-57.1492;-101.4849;-85.5061;0.00916;0.0107;0.000931
114;-120.0;0.0;-50.7432;-120.0;-120.0;-70.7133;-85.867;-120.0;0.0;324.4827;-91.1199;-64.0002;-94.696;2.56e-07;0.0365;0.00351
115;0.0;-120.0;-33.0815;-107.0531;-69.6637;-63.7081;-120.0;-120.0;0.0;88.1932;-75.2217;-120.0;-105.5112;0.131;0.028;0.00254
116;-24.5887;-96.4989;-13.3089;-103.802;-50.9183;-95.3636;-84.271;-120.0;0.0;96.1318;-86.3219;-83.1396;-89.8199;0.0992;0.0292;0.00273
117;-120.0;-34.5484;-109.2881;-120.0;-120.0;-4.3665;-95.2483;-120.0;0.0;165.9734;-94.9646;-97.4245;-96.6444;9.15e-05;0.0222;0.00204
118;-120.0;0.0;-0.7771;-120.0;-120.0;-69.3606;-91.2729;-120.0;0.0;400.0;-97.4869;-79.0818;-93.7969;3.13e-06;0.0135;0.00162
119;-3.317;-75.6938;-16.9606;-94.5848;-3.112;-81.312;-78.7495;-120.0;0.0;86.8701;-85.4401;-84.2138;-81.2079;0.0532;0.0285;0.00289
120;-120.0;-39.2222;-84.7993;-120.0;-120.0;-101.753;-92.4702;-120.0;0.0;400.0;-96.2252;-80.0107;-94.8677;1.89e-05;0.0141;0.00183
121;-18.973;-40.9272;-30.4944;-55.1699;-51.1504;-120.0;-42.9012;-15.1997;-33.3845;63.6596;-72.1919;-81.639;-100.2234;1.22;0.0333;0.00428
122;-111.2373;-33.9652;-56.2221;-9.5888;0.0;0.0;-19.1703;-120.0;-64.8139;153.3131;-94.0422;-86.8322;-101.0883;0.00229;0.17;0.0139
123;-47.8115;-10.9258;-64.4171;-89.3421;-20.6293;-70.396;-54.013;0.0;-19.9225;14.0344;-81.8649;-42.004;-94.6969;0.359;0.00364;0.000116
124;-16.0767;-52.6456;-55.4763;-52.8963;-16.6958;-71.6415;0.0;-14.7736;-51.1724;113.6452;-73.1511;-99.4857;-103.0589;0.134;0.0418;0.00469
125;-120.0;-42.5866;-50.3031;0.0;0.0;-96.9381;-120.0;0.0;-84.9702;318.8887;-96.9676;-83.7579;-100.8848;1.58e-07;0.0459;0.00422
