L1;L2;L3;L4;Hex1;Hex2;Hex3;Hex4;Hex5;RF;Slot2Out2;Slot2Out3;Slot2Out4;EIC 2,9584 - 3,2623;EIC 18,9014 - 19,4015;EIC 28,9571 - 29,0837
-58.1676;-120.0;-39.683;0.0;0.0;-98.1174;-115.9109;0.0;-106.0553;96.3595;-80.3253;-98.5069;-89.4689;;;
-48.6505;-120.0;0.0;0.0;-77.3731;-50.1036;-107.0262;0.0;-101.7508;10.1095;-86.5602;0.0;-99.2419;;;
-96.0079;-120.0;-0.7177;0.0;0.0;-120.0;-106.0698;0.0;-94.5614;66.0676;-86.5644;-23.4734;-91.8174;;;
-6.5937;0.0;-3.6656;0.0;0.0;-26.8396;-120.0;0.0;-83.5997;0.0;-80.8761;0.0;-89.5193;;;
-46.9316;-120.0;-68.5924;0.0;0.0;-71.8589;-29.2125;0.0;-120.0;111.8606;-81.7745;-120.0;-106.2324;;;
